fra;week;P_f;P_h;P;T_f;T_h;T;cl_age90;pop
FR;2021-S03;10416;9255;19699;149773;119904;269910;59;8792674.76801071
FR;2021-S03;6840;6783;13660;104149;98016;202610;69;8004082.76030424
FR;2021-S03;4820;4419;9245;71984;69209;141295;79;5695639.13079729
FR;2021-S03;5115;3096;8219;63654;39570;103316;89;3245280.60813097
FR;2021-S03;3840;1152;5006;44286;13459;57823;90;912580.606272853
FR;2021-S03;76861;64504;141890;1102866;891479;2000216;0;67114995
FR;2021-S04;2924;3124;6203;40382;42668;84624;09;7763205.6862729
FR;2021-S04;9236;9538;19014;139355;138537;280298;19;8336486.16053724
FR;2021-S04;11036;8951;20041;187887;145186;333949;29;7476787.18780411
FR;2021-S04;12035;9305;21367;200099;152382;352907;39;8295371.93193955
FR;2021-S04;11644;9603;21271;170465;137886;308702;49;8592886.15993015
FR;2021-S04;10238;9126;19394;157080;126194;283601;59;8792674.76801071
FR;2021-S04;7039;6733;13818;109849;103661;214000;69;8004082.76030424
FR;2021-S04;4887;4685;9589;73936;71590;145652;79;5695639.13079729
FR;2021-S04;5251;3241;8512;65756;39912;105763;89;3245280.60813097
FR;2021-S04;3951;1180;5139;46290;13668;60039;90;912580.606272853
FR;2021-S04;78260;65508;144396;1191319;971940;2170064;0;67114995
FR;2021-S05;2880;3033;6027;45460;47876;95039;09;7763205.6862729
FR;2021-S05;9290;9397;18913;152710;150779;306366;19;8336486.16053724
FR;2021-S05;10886;9016;19944;185985;141112;327905;29;7476787.18780411
FR;2021-S05;11411;9166;20599;202207;150210;352732;39;8295371.93193955
FR;2021-S05;11421;9565;21008;177403;139121;316843;49;8592886.15993015
FR;2021-S05;9913;9129;19060;160932;127010;288214;59;8792674.76801071
FR;2021-S05;6853;6708;13619;112945;104711;218177;69;8004082.76030424
FR;2021-S05;4622;4322;8952;75298;72009;147431;79;5695639.13079729
FR;2021-S05;4683;2916;7608;66223;39899;106225;89;3245280.60813097
FR;2021-S05;3344;1049;4397;46601;13843;60552;90;912580.606272853
FR;2021-S05;75327;64329;140198;1226026;986889;2220127;0;67114995
FR;2021-S06;2836;2962;6003;52485;56120;110920;09;7763205.6862729
FR;2021-S06;8566;8669;17443;154695;151801;309776;19;8336486.16053724
FR;2021-S06;10342;8580;18955;178706;133946;313226;29;7476787.18780411
FR;2021-S06;11131;8841;19990;196630;143475;340378;39;8295371.93193955
FR;2021-S06;10517;8987;19516;176865;136682;313791;49;8592886.15993015
FR;2021-S06;8941;8345;17310;154224;121044;275488;59;8792674.76801071
FR;2021-S06;6241;6123;12422;106847;99092;206726;69;8004082.76030424
FR;2021-S06;3894;3618;7512;70400;67474;137952;79;5695639.13079729
FR;2021-S06;3764;2433;6202;61510;37226;98797;89;3245280.60813097
FR;2021-S06;2561;855;3421;43425;13075;56566;90;912580.606272853
FR;2021-S06;68808;59421;128816;1196017;960284;2164284;0;67114995
FR;2021-S07;2849;3020;5984;48810;52432;103137;09;7763205.6862729
FR;2021-S07;8888;9218;18329;144986;140770;288443;19;8336486.16053724
FR;2021-S07;11532;10121;21701;179790;137158;317375;29;7476787.18780411
FR;2021-S07;12168;10173;22381;192212;144472;337002;39;8295371.93193955
FR;2021-S07;11714;10261;22014;175116;138933;314337;49;8592886.15993015
FR;2021-S07;9709;9404;19153;153306;123610;277146;59;8792674.76801071
FR;2021-S07;6609;6391;13055;107056;98683;206200;69;8004082.76030424
FR;2021-S07;4191;3875;8077;69904;67716;137719;79;5695639.13079729
FR;2021-S07;3527;2367;5906;59201;36664;95937;89;3245280.60813097
FR;2021-S07;2256;753;3013;40840;12283;53163;90;912580.606272853
FR;2021-S07;73462;65607;139670;1171465;953086;2131140;0;67114995
