fra;week;P_f;P_h;P;T_f;T_h;T;cl_age90;pop
FR;2020-S28;313;282;599;26806;22313;49174;49;8592886.15993015
FR;2020-S28;235;259;498;24585;20620;45257;59;8792674.76801071
FR;2020-S28;171;179;352;21078;20489;41595;69;8004082.76030424
FR;2020-S28;93;116;209;16210;17188;33425;79;5695639.13079729
FR;2020-S28;73;48;121;13885;10170;24072;89;3245280.60813097
FR;2020-S28;46;15;61;7756;2850;10611;90;912580.606272853
FR;2020-S28;2078;1868;3991;207019;174471;382806;0;67114995
FR;2020-S29;106;148;261;12332;14280;27066;09;7763205.6862729
FR;2020-S29;218;262;487;19065;18410;37811;19;8336486.16053724
FR;2020-S29;438;387;831;32811;24707;57604;29;7476787.18780411
FR;2020-S29;420;411;835;36483;28473;65048;39;8295371.93193955
FR;2020-S29;327;320;654;27652;24425;52147;49;8592886.15993015
FR;2020-S29;278;294;573;25580;22098;47710;59;8792674.76801071
FR;2020-S29;191;197;388;22998;21758;44784;69;8004082.76030424
FR;2020-S29;131;139;270;17249;17848;35120;79;5695639.13079729
FR;2020-S29;69;58;127;13729;10181;23926;89;3245280.60813097
FR;2020-S29;44;13;57;7033;2840;9879;90;912580.606272853
FR;2020-S29;2223;2231;4500;214997;185190;401494;0;67114995
FR;2020-S30;161;169;334;13115;14877;28463;09;7763205.6862729
FR;2020-S30;383;335;725;23176;22482;46011;19;8336486.16053724
FR;2020-S30;808;669;1482;44556;34384;79096;29;7476787.18780411
FR;2020-S30;583;606;1192;45328;36683;82076;39;8295371.93193955
FR;2020-S30;437;465;907;35565;31584;67207;49;8592886.15993015
FR;2020-S30;414;364;784;34144;28870;63055;59;8792674.76801071
FR;2020-S30;293;259;555;29055;27221;56314;69;8004082.76030424
FR;2020-S30;191;188;379;22202;22275;44507;79;5695639.13079729
FR;2020-S30;104;74;178;17264;12671;29954;89;3245280.60813097
FR;2020-S30;61;23;84;9235;3474;12713;90;912580.606272853
FR;2020-S30;3435;3155;6633;273748;234761;509829;0;67114995
FR;2020-S31;172;186;366;12427;14373;27196;09;7763205.6862729
FR;2020-S31;488;476;978;28104;27487;56036;19;8336486.16053724
FR;2020-S31;1141;1170;2317;53348;44788;98270;29;7476787.18780411
FR;2020-S31;753;793;1550;51210;44056;95363;39;8295371.93193955
FR;2020-S31;530;490;1023;42370;38528;80957;49;8592886.15993015
FR;2020-S31;506;459;967;40147;35112;75312;59;8792674.76801071
FR;2020-S31;344;289;633;32554;30565;63153;69;8004082.76030424
FR;2020-S31;166;185;353;24053;24202;48283;79;5695639.13079729
FR;2020-S31;121;94;216;18225;13292;31531;89;3245280.60813097
FR;2020-S31;70;18;88;9634;3632;13274;90;912580.606272853
FR;2020-S31;4294;4166;8514;312162;276211;589697;0;67114995
FR;2020-S32;243;244;499;11488;12834;24733;09;7763205.6862729
FR;2020-S32;677;583;1270;28158;28836;57439;19;8336486.16053724
FR;2020-S32;1730;1688;3423;58506;50316;108995;29;7476787.18780411
FR;2020-S32;1067;1178;2251;52248;46642;98997;39;8295371.93193955
FR;2020-S32;780;736;1519;43777;39817;83658;49;8592886.15993015
FR;2020-S32;628;566;1195;41530;36474;78075;59;8792674.76801071
FR;2020-S32;420;367;788;32954;31093;64094;69;8004082.76030424
FR;2020-S32;217;301;518;23776;24406;48215;79;5695639.13079729
FR;2020-S32;168;136;304;17658;13300;30987;89;3245280.60813097
